country,year,corruption_index,homicide_rate,GDP,total_fisheries_per_ton,total_military,population,unemployment_rate,totalgr,industryofgdp
AFG,1996,NA,NA,NA,1600,429000,18853437,11.4989996,NA,NA
AFG,1997,NA,NA,NA,1550,429000,19357126,11.47999954,NA,NA
AFG,1998,NA,NA,NA,1500,400000,19737765,11.47200012,NA,NA
AFG,1999,NA,NA,NA,1500,400000,20170844,11.54699993,NA,NA
AFG,2000,NA,NA,NA,1300,400000,20779953,11.5170002,NA,NA
AFG,2001,NA,NA,NA,1250,NA,21606988,11.51299953,NA,NA
AFG,2002,NA,NA,179.426611,1350,120000,22600770,11.59599972,0.085560764,0.23810127
AFG,2003,NA,NA,190.6838143,1350,130000,23680871,11.60400009,0.120955036,0.227108642
AFG,2004,NA,NA,211.3821169,1450,27000,24726684,11.52799988,0.176214793,0.262267898
AFG,2005,2.5,NA,242.0312849,1450,27000,25654277,11.4289999,0.180929296,0.268120992
AFG,2006,NA,NA,263.7336917,1450,51000,26433049,11.22399998,0.198414709,0.282107681
AFG,2007,1.8,NA,359.6932375,2050,51000,27100536,11.04599953,0.204906112,0.268822416
AFG,2008,1.5,NA,364.6607448,2050,94000,27722276,10.98499966,0.18465592,0.26915628
AFG,2009,1.3,3.926774495,438.0760344,2050,255745,28394813,11.38700008,0.216651918,0.218971222
AFG,2010,1.4,3.368109608,543.3030419,2050,306800,29185507,11.48400021,0.23106573,0.211514207
AFG,2011,1.5,4.087336724,591.162759,2050,340350,30117413,11.48799992,0.228188381,0.227402525
AFG,2012,8,6.251328167,641.8714792,2050,338150,31161376,11.50800037,0.221095452,0.211578072
AFG,2013,8,NA,637.1655232,2050,330650,32269589,11.5340004,0.271053619,0.204446053
AFG,2014,12,NA,613.8566892,2100,308800,33370794,11.44799995,0.235595981,0.212296632
AFG,2015,11,9.783921782,578.4663529,2150,319400,34413603,11.38700008,0.244896134,0.221240425
AFG,2016,15,6.551163456,547.2281102,2200,323000,35383128,11.31299973,0.270196675,0.218232228
AFG,2017,15,6.678401441,556.3020024,NA,323000,36296400,11.18400002,0.252605758,0.221276696
AFG,2018,16,6.655561152,524.1628809,NA,NA,37172386,11.05700016,NA,0.222799116
AFG,2019,16,NA,502.1154869,NA,NA,38041754,11.11800003,NA,0.220890533
AGO,1993,NA,NA,441.2006733,126200,128000,13075049,3.803999901,NA,NA
AGO,1994,NA,NA,328.6732947,132413,120000,13503747,3.815999985,NA,NA
AGO,1995,NA,NA,397.1794508,122781,122000,13945206,3.819000006,NA,0.602851758
AGO,1996,NA,NA,522.6438073,137815,106400,14400719,3.828999996,NA,0.678206759
AGO,1997,NA,NA,514.2952232,146304,125500,14871570,3.821000099,NA,0.607577414
AGO,1998,NA,NA,423.5936602,163149,129000,15359601,3.818000078,NA,0.551572893
AGO,1999,NA,NA,387.784316,175799,127500,15866869,3.849999905,0.414246262,0.727173723
AGO,2000,1.7,NA,556.8363181,239356,117500,16395473,3.836999893,0.428120373,0.721229549
AGO,2001,NA,NA,527.3335285,254564,145500,16945753,3.835000038,0.388239979,0.648838115
AGO,2002,1.7,NA,872.4944916,255494,110000,17519417,3.871000051,0.286751279,0.560757965
AGO,2003,1.8,NA,982.9608993,212105,130000,18121479,3.875,0.297154123,0.531169964
AGO,2004,2,NA,1255.564045,240094,118000,18758145,3.842000008,0.309874617,0.546299213
AGO,2005,2,NA,1902.422346,202742,118000,19433602,3.799999952,0.336959052,0.604019935
AGO,2006,2.2,NA,2599.566464,225897,110000,20149901,3.711999893,0.400236593,0.581093312
AGO,2007,2.2,NA,3121.995637,306626,117000,20905363,3.637000084,0.424401858,0.618835379
AGO,2008,1.9,NA,4080.94141,306050,117000,21695634,3.611999989,0.484243642,0.602548201
AGO,2009,1.9,NA,3122.780766,272302,117000,22514281,3.782000065,0.371144668,0.440563762
AGO,2010,1.9,NA,3587.883798,310310,117000,23356246,9.430000305,0.4278304,0.523684349
AGO,2011,2,4.355785515,4615.468028,342310,117000,24220661,7.361999989,0.454816426,0.560265147
AGO,2012,22,4.847075177,5100.095808,374310,117000,25107931,7.379000187,0.413416824,0.569182197
AGO,2013,23,NA,5254.882338,407057,117000,26015780,7.400000095,0.367487685,0.53362854
AGO,2014,19,NA,5408.410496,442389,117000,26941779,7.330999851,0.307389209,0.462033256
AGO,2015,15,NA,4166.979684,496104,117000,27884381,7.282000065,0.24135699,0.419330926
AGO,2016,18,NA,3506.072885,487145,117000,28842484,7.22300005,0.175231139,0.426435668
AGO,2017,19,NA,4095.812942,NA,117000,29816748,7.118999958,0.174856754,0.421679535
AGO,2018,19,NA,3289.646664,NA,NA,30809762,7.019000053,NA,0.479315416
AGO,2019,26,NA,2973.59116,NA,NA,31825295,6.886000156,NA,NA
ALB,1993,NA,5.977724058,367.2792251,2889,65000,3227287,16.47800064,NA,NA
ALB,1994,NA,3.559490205,586.4163396,2495,65000,3207536,16.51199913,NA,NA
ALB,1995,NA,8.320154402,750.6044492,1720.3,86500,3187784,16.52199936,NA,NA
ALB,1996,NA,8.777877425,1009.977668,2449.2,67500,3168033,16.54999924,NA,0.173736635
ALB,1997,NA,43.03577034,717.3805674,1110.8,67500,3148281,16.52499962,0.177584479,0.181095775
ALB,1998,NA,21.21709622,813.7902636,2807.5,67500,3128530,16.51600075,0.258933397,0.15346892
ALB,1999,NA,17.03653889,1033.241693,3057.9,67500,3108778,16.61100006,0.27283507,0.165364476
ALB,2000,NA,4.186311974,1126.683318,3635,67500,3089027,16.57299995,0.251598666,0.193956456
ALB,2001,NA,7.029425495,1281.659393,3597.2,40500,3060173,16.56699944,0.246962902,0.217356604
ALB,2002,2.5,6.909384383,1425.124849,4516.8,27000,3051010,16.67300034,0.253229352,0.231063954
ALB,2003,2.5,5.323896566,1846.118813,4274.6,22000,3039616,16.68400002,0.246629228,0.240555828
ALB,2004,2.5,4.219147004,2373.579844,6118.5,21500,3026939,16.58600044,0.25025215,0.246655231
ALB,2005,2.4,4.988969195,2673.787283,6473,22500,3011487,16.45999908,0.252990311,0.250817045
ALB,2006,2.6,3.101513179,2972.743265,7709.3,11500,2992547,16.19599915,0.262361469,0.253081869
ALB,2007,2.9,3.460785836,3595.037163,7505.4,14500,2970017,15.9659996,0.260289628,0.253402999
ALB,2008,3.4,3.097230044,4370.540127,7365,14500,2947314,13.06000042,0.269452286,0.251610203
ALB,2009,3.2,2.859022604,4114.140114,8128,14745,2927519,13.67399979,0.261323832,0.244136513
ALB,2010,3.3,4.307963049,4094.350334,7636.2,14745,2913021,14.08600044,0.261946767,0.24937467
ALB,2011,3.1,4.848731527,4437.142885,6827.2,14750,2905195,13.48099995,0.251984038,0.244844075
ALB,2012,33,5.387614869,4247.629984,10649.2,14750,2900401,13.3760004,0.244098363,0.229185139
ALB,2013,31,4.270284194,4413.060861,11078.5,8500,2895092,15.86600018,0.236273635,0.230613369
ALB,2014,33,4.039627015,4578.631994,11476.7,8500,2889104,17.48999977,0.262747025,0.215088579
ALB,2015,36,2.214131417,3952.801215,9472.5,8500,2880703,17.07999992,0.264504761,0.217636625
ALB,2016,39,2.736947791,4124.055726,8835.7,8500,2876101,15.22000027,0.264543101,0.211419433
ALB,2017,38,2.010977859,4531.020806,NA,9000,2873457,13.75,0.277832059,0.203584083
ALB,2018,36,2.289492444,5284.380184,NA,NA,2866376,12.34000015,0.276597661,0.212840188
ALB,2019,35,NA,5352.857411,NA,NA,2854191,12.33100033,NA,0.200573246
AND,1993,NA,NA,16516.47103,NA,NA,60971,NA,NA,NA
AND,1994,NA,NA,16234.80901,NA,NA,62677,NA,NA,NA
AND,1995,NA,NA,18461.06486,NA,NA,63850,NA,NA,NA
AND,1996,NA,NA,19017.17459,NA,NA,64360,NA,NA,NA
AND,1997,NA,NA,18353.05972,NA,NA,64327,NA,NA,NA
AND,1998,NA,NA,18894.5215,NA,NA,64142,NA,NA,NA
AND,1999,NA,NA,19261.7105,NA,NA,64370,NA,NA,NA
AND,2000,NA,NA,21854.2468,NA,NA,65390,NA,NA,NA
AND,2001,NA,NA,22971.53554,NA,NA,67341,NA,NA,NA
AND,2002,NA,NA,25066.88221,NA,NA,70049,NA,NA,NA
AND,2003,NA,NA,32271.9639,NA,NA,73182,NA,NA,NA
AND,2004,NA,1.311578616,37969.17499,NA,NA,76244,NA,NA,NA
AND,2005,NA,NA,40066.25692,NA,NA,78867,NA,NA,NA
AND,2006,NA,NA,42675.81276,NA,NA,80993,NA,NA,NA
AND,2007,NA,0,47803.69361,NA,NA,82684,NA,NA,NA
AND,2008,NA,1.19244941,48718.49687,NA,NA,83862,NA,NA,NA
AND,2009,NA,0,43503.18552,NA,NA,84463,NA,NA,NA
AND,2010,NA,0,40852.66678,NA,NA,84449,NA,NA,NA
AND,2011,NA,1.194015594,43335.32886,NA,NA,83747,NA,NA,NA
AND,2012,NA,0,38686.46126,NA,NA,82427,NA,NA,NA
AND,2013,NA,0,39538.76672,NA,NA,80774,NA,NA,NA
AND,2014,NA,0,41303.92937,NA,NA,79213,NA,NA,NA
AND,2015,NA,0,35762.52307,NA,NA,78011,NA,NA,NA
AND,2016,NA,NA,37474.66541,NA,NA,77297,NA,NA,NA
AND,2017,NA,NA,38962.88035,NA,NA,77001,NA,NA,NA
AND,2018,NA,NA,41793.05526,NA,NA,77006,NA,NA,NA
AND,2019,NA,NA,40886.39116,NA,NA,77142,NA,NA,NA
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1993,NA,NA,25596.69227,99600,55000,2173139,1.917999983,NA,0.514799216
ARE,1994,NA,NA,25847.92612,108600,60000,2294385,1.820000052,NA,0.462603751
ARE,1995,NA,NA,27222.03586,105884,71000,2415090,1.799999952,NA,0.455451739
ARE,1996,NA,NA,28975.0229,107000,65500,2539126,2,NA,0.463670024
ARE,1997,NA,NA,29512.66374,114358,65500,2671362,2.032000065,NA,0.454284115
ARE,1998,NA,NA,26899.60177,114739,65500,2813214,2.092999935,NA,0.400235325
ARE,1999,NA,NA,28470.83786,117607,65500,2966034,2.243000031,NA,0.420206626
ARE,2000,NA,NA,33291.41937,105456,66000,3134062,2.25,NA,0.485170116
ARE,2001,NA,NA,31280.78428,112561,66000,3302719,2.411000013,NA,0.496763413
ARE,2002,NA,NA,31567.47371,97574,41500,3478777,2.714999914,NA,0.475457476
ARE,2003,5.2,1.212307018,33499.09375,97450,50500,3711932,2.987999916,NA,0.491210129
ARE,2004,6.1,0.663622687,36333.24984,90570,50000,4068570,3.176000118,NA,0.516783481
ARE,2005,6.2,1.220516357,39365.4339,87325,51000,4588225,3.119999886,NA,0.556434763
ARE,2006,6.2,0.735825177,41907.40566,101013,51000,5300174,2.703000069,NA,0.579031117
ARE,2007,5.7,NA,41809.51638,97097,51000,6168838,2.08100009,NA,0.548402286
ARE,2008,5.9,NA,44498.93423,75418,51000,7089487,1.95599997,NA,0.580179784
ARE,2009,6.5,NA,32024.1816,77835,51000,7917372,2.33100009,NA,0.52044956
ARE,2010,6.3,0.783625914,33893.30351,79808,51000,8549988,2.532999992,NA,0.525308622
ARE,2011,6.8,0.570037616,39194.67662,75562,51000,8946777,2.496000051,NA,0.580355993
ARE,2012,68,0.754791449,40976.49971,73148,51000,9141596,2.509000063,0.39980228,0.574491317
ARE,2013,69,0.619706133,42412.63028,73780,63000,9197910,2.575999975,0.406792911,0.550061258
ARE,2014,70,0.662022955,43751.83889,73991,63000,9214175,2.211999893,0.350417421,0.527646084
ARE,2015,70,0.647745586,38663.38381,73790,63000,9262900,1.909999967,0.289982893,0.438938142
ARE,2016,66,0.705054762,38141.84676,74240.9,63000,9360980,1.636000037,0.288655863,0.414486936
ARE,2017,71,0.463782488,40644.80404,NA,63000,9487203,2.463000059,0.291542037,0.42574625
ARE,2018,70,NA,43839.35635,NA,NA,9630959,2.229000092,0.314077893,0.470329279
ARE,2019,71,NA,43103.32306,NA,NA,9770529,2.34800005,NA,0.461603691
ARG,1993,NA,NA,6969.118088,985251,65000,33970111,10.10000038,NA,0.273387396
ARG,1994,NA,NA,7483.139682,1000460,69000,34402672,11.76000023,NA,0.267545587
ARG,1995,5.24,NA,7408.708238,1176947,98500,34828170,18.79999924,NA,0.263012103
ARG,1996,3.41,NA,7721.354543,1291387,103700,35246374,17.11000061,NA,0.265925606
ARG,1997,2.81,NA,8213.1272,1390864,104240,35657429,14.81999969,NA,0.271791509
ARG,1998,3,NA,8289.505729,1166429,104240,36063459,12.64999962,NA,0.267121358
ARG,1999,NA,NA,7774.736203,1088144,101740,36467218,14.05000019,NA,0.261936305
ARG,2000,3.5,NA,7708.100996,923584,102300,36870787,15,NA,0.25990836
ARG,2001,3.5,8.39422117,7208.371567,932421,101300,37275652,17.31999969,NA,0.25243434
ARG,2002,2.8,9.474084041,2593.40415,947642,101100,37681749,19.59000015,NA,0.305577371
ARG,2003,2.5,7.789882479,3349.806124,911847,102600,38087868,15.35999966,NA,0.326450991
ARG,2004,2.5,6.073994134,4277.721351,946694,102000,38491972,13.52200031,NA,0.28816922
ARG,2005,2.8,5.651413609,5109.851325,931994,102000,38892931,11.50599957,NA,0.28626314
ARG,2006,2.9,5.372885371,5919.012037,1174508,107000,39289878,10.07699966,NA,0.292032797
ARG,2007,2.9,5.39004049,7245.448317,988366,107000,39684295,8.470000267,NA,0.274152361
ARG,2008,2.9,5.915645195,9020.873098,997783,107000,40080160,7.836999893,NA,0.262724599
ARG,2009,2.9,6.52623068,8225.137176,864557,104340,40482788,8.645000458,NA,0.252842048
ARG,2010,2.9,5.829456464,10385.96443,814403.3,104340,40788453,7.714000225,NA,0.252587763
ARG,2011,3,6.076887217,12848.8642,796501.2,104350,41261490,7.179999828,NA,0.252126976
ARG,2012,35,6.341726925,13082.66433,741018.4,104350,41733271,7.217000008,NA,0.244290571
ARG,2013,34,7.280305064,13080.25473,874530.1,105650,42202935,7.099999905,NA,0.240058814
ARG,2014,34,7.570798931,12334.79825,833937.7,105650,42669500,7.268000126,NA,0.242773945
ARG,2015,32,6.586123277,13789.06042,817962.7,105450,43131966,7.75,NA,0.231530561
ARG,2016,36,6.033309523,12790.24247,758899.5,105450,43590368,7.977000237,NA,0.220541072
ARG,2017,39,5.209715161,14591.86338,NA,105000,44044811,8.347000122,NA,0.218690651
ARG,2018,40,5.324478739,11683.94962,NA,NA,44494502,9.220000267,NA,0.229672773
ARG,2019,45,NA,10006.14897,NA,NA,44938712,9.788999557,NA,0.231319172
ARM,1993,NA,7.96881221,357.2032777,4100,21000,3363108,5.300000191,0.203611753,NA
ARM,1994,NA,4.781244366,400.5152381,2603,45000,3283667,6.599999905,0.276673883,NA
ARM,1995,NA,3.605452812,456.3750487,1941,61000,3217348,6.699999809,0.198818204,NA
ARM,1996,NA,3.598242921,504.0585594,1230,58400,3168221,9.300000191,0.176343637,NA
ARM,1997,NA,3.191746399,523.283068,1250,61000,3133089,10.80000019,0.196932625,NA
ARM,1998,NA,2.991612869,609.1724375,1135,54400,3108687,9.399999619,0.206932284,NA
ARM,1999,NA,2.913545396,597.4325147,2033,54400,3089022,11.19999981,0.227253394,NA
ARM,2000,2.5,2.96455854,622.7421391,2026,42300,3069591,11.0539999,0.195861694,NA
ARM,2001,NA,2.884597104,694.4232277,2197,43000,3050687,10.93299961,0.200785794,NA
ARM,2002,NA,2.274243435,783.2406986,1485,45600,3033978,10.8920002,0.222830594,NA
ARM,2003,3,2.518275723,930.1273219,1633,45600,3017932,10.78299999,0.216591368,NA
ARM,2004,3.1,2.766007435,1191.91902,1031,49000,3000720,10.59799957,0.195688409,NA
ARM,2005,2.9,1.945484832,1643.753029,989,49000,2981269,10.39299965,0.205139464,NA
ARM,2006,2.9,2.670451722,2158.143697,1406,47000,2958307,10.09000015,0.210045065,NA
ARM,2007,3,2.625642984,3139.277499,4715,42000,2932618,9.812000275,0.227870212,NA
ARM,2008,2.9,3.336067533,4010.857243,5701,42000,2907618,13.47500038,0.238082214,NA
ARM,2009,2.7,3.358616444,2994.342544,5859,55570,2888092,18.43600082,0.237164937,NA
ARM,2010,2.6,1.946259602,3218.372707,5617,55528,2877319,19.00799942,0.242402049,NA
ARM,2011,2.6,2.46824653,3525.804747,7095,55544,2876538,18.44300079,0.256003992,NA
ARM,2012,34,2.253627387,3681.857456,9711,49100,2884229,17.3010006,0.242205425,0.278270946
ARM,2013,36,2.174218394,3838.185801,15799,49100,2897584,16.17900085,0.245347604,0.267090481
ARM,2014,37,2.47218534,3986.231624,18720,49100,2912403,17.49799919,0.258980264,0.252705329
ARM,2015,35,2.563612629,3607.296697,23270,49100,2925553,18.26099968,0.250329651,0.257086994
ARM,2016,33,2.963066904,3591.829276,20139,49100,2936146,17.61700058,0.248878209,0.25577133
ARM,2017,35,2.377080327,3914.501268,NA,49000,2944809,17.70499992,0.235164781,0.258095324
ARM,2018,35,1.693915557,4220.490277,NA,NA,2951776,17.49600029,0.23423529,0.247565578
ARM,2019,42,NA,4622.733493,NA,NA,2957731,16.98999977,NA,0.242874002
ASM,1993,NA,NA,NA,40,NA,51020,NA,NA,NA
ASM,1994,NA,NA,NA,132,NA,52095,NA,NA,NA
ASM,1995,NA,NA,NA,176,NA,53161,NA,NA,NA
ASM,1996,NA,NA,NA,225,NA,54211,NA,NA,NA
ASM,1997,NA,NA,NA,448,NA,55221,NA,NA,NA
ASM,1998,NA,NA,NA,610,NA,56171,NA,NA,NA
ASM,1999,NA,NA,NA,554,NA,57053,NA,NA,NA
ASM,2000,NA,NA,NA,851,NA,57821,NA,NA,NA
ASM,2001,NA,1.7095186,NA,3677,NA,58494,NA,NA,NA
ASM,2002,NA,11.84894291,8700.067705,6949,NA,59080,NA,NA,NA
ASM,2003,NA,5.042440541,8856.547459,5099,NA,59504,NA,NA,NA
ASM,2004,NA,6.701963675,8578.944723,4051,NA,59681,NA,NA,NA
ASM,2005,NA,10.07438252,8444.9817,4029,NA,59562,NA,NA,NA
ASM,2006,NA,6.767158978,8391.561067,5367,NA,59107,NA,NA,NA
ASM,2007,NA,1.713296897,8909.449156,6537,NA,58365,NA,NA,NA
ASM,2008,NA,5.218298835,9792.666806,4442,NA,57492,NA,NA,NA
ASM,2009,NA,3.52889281,11961.25823,4962,NA,56683,NA,NA,NA
ASM,2010,NA,8.915198631,10271.22452,5328,NA,56079,NA,NA,NA
ASM,2011,NA,8.967805578,10294.30227,4921,NA,55759,NA,NA,NA
ASM,2012,NA,3.592663781,11568.793,6129,NA,55667,NA,NA,NA
ASM,2013,NA,5.38435307,11505.39371,3293,NA,55713,NA,NA,NA
ASM,2014,NA,5.377211378,11507.23235,2599,NA,55791,NA,NA,NA
ASM,2015,NA,7.167688062,11843.33118,3177,NA,55812,NA,NA,NA
ASM,2016,NA,5.382227884,11696.95556,3067,NA,55741,NA,NA,NA
ASM,2017,NA,NA,10823.4448,NA,NA,55620,NA,NA,NA
ASM,2018,NA,NA,11466.69071,NA,NA,55465,NA,NA,NA
ASM,2019,NA,NA,NA,NA,NA,55312,NA,NA,NA
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,1993,NA,6.081152987,8136.16884,1046,NA,65777,NA,NA,0.127076372
ATG,1994,NA,7.440365471,8770.751631,1095,NA,67204,NA,NA,0.125255748
ATG,1995,NA,10.19338304,8406.592992,1576,200,68670,NA,NA,0.126958833
ATG,1996,NA,4.2749658,9030.975299,1434,200,70173,NA,NA,0.122471886
ATG,1997,NA,1.39456399,9492.038256,1639,150,71704,NA,NA,0.12512822
ATG,1998,NA,NA,9940.191639,1675,150,73224,NA,NA,0.126588038
ATG,1999,NA,NA,10260.58502,1626,200,74674,NA,NA,0.135118184
ATG,2000,NA,6.578341469,10920.84269,1723,200,76016,NA,NA,0.138271139
ATG,2001,NA,9.065948298,10370.67113,1797,200,77212,NA,NA,0.128781391
ATG,2002,NA,6.385859154,10404.43621,2343,200,78295,NA,NA,0.130423248
ATG,2003,NA,6.304295747,10789.95096,2541,200,79300,NA,NA,0.131952946
ATG,2004,NA,4.978406163,11446.63847,2473,170,80336,NA,NA,0.130557551
ATG,2005,NA,3.682698682,12547.61304,2948,170,81465,NA,NA,0.145297874
ATG,2006,NA,13.29867618,13989.71567,3044,170,82704,NA,NA,0.184627448
ATG,2007,NA,20.23111069,15607.08987,3042,170,84026,NA,NA,0.177596084
ATG,2008,NA,18.73667939,16024.34555,3389,NA,85397,NA,0.230107299,0.191568132
ATG,2009,NA,18.44529242,14113.07726,2416,170,86746,NA,0.204067571,0.194880107
ATG,2010,NA,6.81585823,13049.25705,2219,170,88028,NA,0.247563519,0.16204147
ATG,2011,NA,NA,12746.20502,3059,180,89253,NA,0.227897692,0.145307688
ATG,2012,NA,11.0610904,13272.44133,5961,180,90409,NA,0.226294224,0.142854938
ATG,2013,NA,NA,12909.74418,4616,180,91516,NA,0.215839787,0.156822606
ATG,2014,NA,NA,13501.58092,3127,180,92562,NA,0.230464821,0.161886388
ATG,2015,NA,NA,14286.09316,3010,180,93566,NA,NA,0.164579795
ATG,2016,NA,NA,15197.61746,3010,180,94527,NA,NA,0.179383724
ATG,2017,NA,NA,15383.41519,NA,NA,95426,NA,NA,0.192206966
ATG,2018,NA,NA,16726.98081,NA,NA,96286,NA,NA,0.211488887
ATG,2019,NA,NA,17790.30931,NA,NA,97118,NA,NA,0.21436457
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1993,NA,1.891700327,17634.25635,266979,68000,17667000,10.8739996,0.344621435,0.269034033
AUS,1994,NA,1.797901691,18046.02024,239526,65000,17855000,9.718999863,0.342687635,0.268597144
AUS,1995,8.8,1.978538086,20319.63063,250116,57100,18072000,8.468999863,0.353536642,0.265102605
AUS,1996,8.6,1.946201921,21861.32551,245323,58800,18311000,8.505999565,0.359448543,0.260544467
AUS,1997,8.86,1.979637471,23468.59683,247004,58400,18517000,8.362000465,0.358811549,0.252925043
AUS,1998,8.7,1.796952251,21318.96417,252579.4,58400,18711000,7.676000118,0.367511861,0.2543611
AUS,1999,NA,2.049159932,20533.03506,268522,56200,18926000,6.872000217,0.38053304,0.246972866
AUS,2000,8.3,1.906122518,21679.24784,238126,51600,19153000,6.282999992,0.355583869,0.246384001
AUS,2001,8.5,1.807792953,19490.86111,240630,51700,19413000,6.742000103,0.358288212,0.236843076
AUS,2002,8.6,1.886465108,20082.48327,246082,50900,19651400,6.368000031,0.3599803,0.236317257
AUS,2003,8.8,1.538919138,23447.031,263343.2,53600,19895400,5.928999901,0.365952582,0.240631243
AUS,2004,8.8,1.322960651,30430.67644,287701,52000,20127400,5.394999981,0.365850042,0.239493217
AUS,2005,8.8,1.283541631,33999.24286,293773.3,53000,20394800,5.032000065,0.370312358,0.246199198
AUS,2006,8.7,1.368975412,36044.92281,262276,51000,20697900,4.782000065,0.37172644,0.25606716
AUS,2007,8.6,1.219142604,40960.05449,246298.3,55000,20827600,4.376999855,0.35812667,0.256531194
AUS,2008,8.7,1.223497165,49601.65671,242554.4,55000,21249200,4.234000206,0.328849958,0.255935338
AUS,2009,8.7,1.209148037,42772.35917,249222.3,56552,21691700,5.56099987,0.325094515,0.269990358
AUS,2010,8.7,1.042668759,52022.1256,254615.8,56552,22031750,5.210999966,0.325967351,0.251514166
AUS,2011,8.8,1.100363732,62517.83375,252843.6,57050,22340024,5.080999851,0.320482697,0.264361276
AUS,2012,85,1.060952322,68012.1479,248311,56200,22733465,5.223999977,0.325957197,0.26284164
AUS,2013,81,1.053540861,68150.10704,243449.4,56750,23128129,5.662000179,0.331055837,0.251279855
AUS,2014,80,1.029816973,62510.79117,236915.4,56750,23475686,6.077000141,0.333022967,0.255148167
AUS,2015,79,0.9861068,56755.72171,251486,57800,23815995,6.053999901,0.340940416,0.236442056
AUS,2016,79,0.935592108,49971.13146,271477,57800,24190907,5.710000038,0.347261685,0.222848727
AUS,2017,77,0.825719528,54066.47127,NA,58000,24601860,5.59100008,0.3674873,0.234268357
AUS,2018,77,0.891632403,57395.91947,NA,NA,24982688,5.297999859,NA,0.241204294
AUS,2019,77,NA,54907.10191,NA,NA,25364307,5.268000126,NA,0.251976381
AUT,1993,NA,1.013673313,24081.52781,3560,45000,7905633,4.25,NA,0.283037685
AUT,1994,NA,1.107306144,25646.70066,3491,45000,7936118,3.535000086,NA,0.284134002
AUT,1995,7.13,0.976206469,30325.84958,3322,55800,7948278,4.347000122,0.49680753,0.28851532
AUT,1996,7.59,1.234744667,29809.07677,3399,55800,7959017,5.281000137,0.511207455,0.287520089
AUT,1997,7.61,0.821623845,26705.4786,3483,45500,7968041,5.149000168,0.496962548,0.286763839
AUT,1998,7.5,0.957585909,27361.87511,3360,45500,7976789,5.522999763,0.495279174,0.285106629
AUT,1999,NA,0.7452383,27174.29716,3499,40500,7992324,4.697999954,0.494655263,0.284285922
AUT,2000,7.7,1.016200214,24564.45829,3286,40500,8011566,4.686999798,0.48628428,0.28284802
AUT,2001,7.8,0.864437119,24537.51426,2755,34600,8042293,4.006999969,0.506941481,0.282087461
AUT,2002,7.8,0.799075236,26401.74546,2683,34600,8081957,4.848999977,0.496731779,0.273880785
AUT,2003,8,0.611556834,32222.89724,2605,34600,8121423,4.778999805,0.494844499,0.274983799
